Headline,Summary,Link
Hamas names next hostages to be released,The three civilians will be exchanged for more Palestinian prisoners in the latest swap on Saturday.,https://www.bbc.com/news/articles/c4g9vyz747eo
Swedish school shooting victims were seven women and three men,Families have been identifying victims of the attack - all between 28 and 68 years old.,https://www.bbc.com/news/articles/cr7epd3mz0ro
"Watch: Argentina canal turns bright red, alarming locals",The body of water runs through industrial areas on the outskirts of Buenos Aires.,https://www.bbc.com/news/videos/cevep790e3vo
Swedish school shooting victims were seven women and three men,Families have been identifying victims of the attack - all between 28 and 68 years old.,https://www.bbc.com/news/articles/cr7epd3mz0ro
Dozens of countries back International Criminal Court after Trump sanctions,"A majority of member states, including the UK, Germany and France, said the court was ""vital"" for international justice.",https://www.bbc.com/news/articles/cx2p19l24g2o
15 things Trump and his team did this week,"In his third week back in office, Trump took action on issues from transgender competitors in women's sports to Gaza.",https://www.bbc.com/news/articles/cjdep9j31l8o
"Casinos, high-rises and fraud: The BBC visits a bizarre city built on scams","A haven for the super rich, or a city built on scams? The BBC was invited to find out.",https://www.bbc.com/news/articles/c04nx1vnw17o
"Watch: Argentina canal turns bright red, alarming locals",The body of water runs through industrial areas on the outskirts of Buenos Aires.,https://www.bbc.com/news/videos/cevep790e3vo
"Casinos, high-rises and fraud: The BBC visits a bizarre city built on scams","A haven for the super rich, or a city built on scams? The BBC was invited to find out.",https://www.bbc.com/news/articles/c04nx1vnw17o
Ecuador chooses president against backdrop of gang violence,Whoever wins the presidential election will be tasked with restoring security to the country.,https://www.bbc.com/news/articles/cg7zpr7779go
Stylish earrings to gold shoes on show at South Africa's biggest political event,A collection of some of the best outfits from the State of the Nation Address.,https://www.bbc.com/news/articles/cn8xpry2kreo
Ecuador chooses president against backdrop of gang violence,Whoever wins the presidential election will be tasked with restoring security to the country.,https://www.bbc.com/news/articles/cg7zpr7779go
What is USAID and why is Trump poised to 'close it down'?,The US aid agency spends $40bn a year on humanitarian support - but Trump says he wants it to be shuttered.,https://www.bbc.com/news/articles/clyezjwnx5ko
Plane crashes into bus on busy São Paulo street,"Two people were killed in the accident, the Brazilian city's fire department said.",https://www.bbc.com/news/videos/cevepp0wdn9o
Stylish earrings to gold shoes on show at South Africa's biggest political event,A collection of some of the best outfits from the State of the Nation Address.,https://www.bbc.com/news/articles/cn8xpry2kreo
Watch as police on horseback chase after suspected drug dealer,"Mounted police galloped after a man who fled on foot when officers approached him in Jacksonville, Florida.",https://www.bbc.com/news/videos/cq5gp1328deo
'His hands were everywhere' - women accuse surviving Fayed brother of sexual assault,"The women all worked at Harrods - Ali Fayed, 82, denies the claims and says he ""will not be scapegoated"".",https://www.bbc.com/news/articles/cy08dz47v8ro
"Sexual violence against children in Haiti rises by 1,000%, UN says","Unicef says gangs are inflicting ""unimaginable horrors on children"".",https://www.bbc.com/news/articles/cdjdp7m7wkdo
'His hands were everywhere' - women accuse surviving Fayed brother of sexual assault,"The women all worked at Harrods - Ali Fayed, 82, denies the claims and says he ""will not be scapegoated"".",https://www.bbc.com/news/articles/cy08dz47v8ro
Chappell Roan hits back at criticism over Grammys speech,"The Good Luck, Babe! singer used her acceptance speech to call for better rights and protections for artists.",https://www.bbc.com/news/articles/cn93pe52zjpo
More than 100 venomous snakes found in Sydney yard,Reptile handlers say they initially found 40 red-bellied black snakes - before some began giving birth.,https://www.bbc.com/news/articles/cgmypx0wldro
"Sexual violence against children in Haiti rises by 1,000%, UN says","Unicef says gangs are inflicting ""unimaginable horrors on children"".",https://www.bbc.com/news/articles/cdjdp7m7wkdo
Where the Super Bowl will be won and lost,Gameplans and key tactical battles assessed before the Kansas City Chiefs take on the Philadelphia Eagles in New Orleans.,https://www.bbc.com/sport/american-football/articles/c4gp53gwp96o
The Treble to the periphery - what's going on with Grealish?,"After the highs of winning the Treble, Jack Grealish has fallen out of favour at Manchester City - but what has gone wrong?",https://www.bbc.com/sport/football/articles/c70qvk8gdr8o
Man City launch new legal claim against Premier League rules,Manchester City launch a fresh legal challenge against the Premier League over new rules governing sponsorship deals.,https://www.bbc.com/sport/football/articles/cvgpzmj83ljo
Where the Super Bowl will be won and lost,Gameplans and key tactical battles assessed before the Kansas City Chiefs take on the Philadelphia Eagles in New Orleans.,https://www.bbc.com/sport/american-football/articles/c4gp53gwp96o
